
symptoms,disease,recommendation
high fever cough shortness of breath,Pneumonia,Please consult a doctor immediately and get a chest X-ray.
pain swelling muscle soreness injury,Sports Injury / Strain,Rest the affected area apply ice and avoid heavy training.
headache nausea light sensitivity,Migraine,Rest in a dark room and take prescribed pain medication.
runny nose sneezing sore throat,Common Cold,Drink plenty of fluids get enough rest and monitor symptoms.
fever body aches dry cough,Influenza,Rest stay hydrated and contact a doctor if symptoms worsen.
frequent urination excessive thirst fatigue,Diabetes,Consult a healthcare professional for blood glucose testing.
chest pain pain in left arm sweating,Possible Heart Attack,Call emergency services immediately.
itchy eyes sneezing runny nose,Seasonal Allergies,Consider antihistamines and avoid allergens.
abdominal pain nausea vomiting,Food Poisoning,Stay hydrated and seek medical care if severe.
burning during urination frequent urination,Urinary Tract Infection,Consult a doctor for evaluation and possible antibiotics.
rash itching redness,Allergic Reaction,Avoid the suspected allergen and seek medical advice.
persistent cough weight loss night sweats,Tuberculosis,Seek medical evaluation immediately.
fatigue pale skin dizziness,Anemia,Consult a doctor for blood tests and iron evaluation.
joint pain stiffness swelling,Arthritis,Consult a rheumatologist and avoid excessive joint strain.
ear pain fever hearing loss,Ear Infection,Visit a healthcare provider for examination.
tooth pain swelling gums,Dental Infection,See a dentist as soon as possible.
vomiting diarrhea stomach cramps,Gastroenteritis,Drink oral rehydration fluids and rest.
difficulty swallowing sore throat fever,Strep Throat,Consult a healthcare provider for testing.
wheezing shortness of breath chest tightness,Asthma Attack,Use prescribed rescue inhaler and seek medical care if symptoms persist.
high fever stiff neck severe headache,Meningitis,Seek emergency medical attention immediately.
blurred vision increased thirst weight loss,Diabetes,Arrange prompt medical evaluation.
yellow skin dark urine fatigue,Hepatitis,Consult a doctor for liver function evaluation.
back pain numbness leg weakness,Sciatica,Avoid heavy lifting and consult a healthcare provider.
constipation abdominal bloating,Constipation,Increase fiber water intake and physical activity.
diarrhea dehydration weakness,Acute Diarrhea,Drink oral rehydration solution and monitor hydration.
fever chills cough,Bronchitis,Rest drink fluids and consult a doctor if symptoms persist.
dry cough sore throat hoarseness,Laryngitis,Rest your voice stay hydrated and avoid smoking.
runny nose facial pain headache,Sinusitis,Use saline nasal spray and consult a doctor if symptoms worsen.
itchy skin dry patches,Eczema,Use moisturizer regularly and avoid skin irritants.
red rash fever,Chickenpox,Stay home avoid scratching and consult a healthcare provider.
fever swollen glands sore throat,Mononucleosis,Rest drink fluids and avoid strenuous activity.
eye redness itching discharge,Conjunctivitis,Keep eyes clean and consult a healthcare provider.
blurred vision eye pain,Glaucoma,Seek urgent ophthalmologic evaluation.
eye pain light sensitivity,Uveitis,Consult an eye specialist immediately.
hearing loss ringing ears,Tinnitus,Consult an audiologist or ENT specialist.
ear discharge ear pain,Otitis Media,Consult a doctor for examination and treatment.
high blood pressure headache dizziness,Hypertension,Schedule a medical evaluation and monitor blood pressure.
low blood pressure dizziness fainting,Hypotension,Drink fluids and consult a healthcare provider.
rapid heartbeat chest discomfort,Tachycardia,Seek medical evaluation promptly.
slow heartbeat fatigue dizziness,Bradycardia,Consult a cardiologist for assessment.
leg swelling calf pain,Deep Vein Thrombosis,Seek immediate medical evaluation.
sudden facial droop arm weakness,Stroke,Call emergency services immediately.
persistent thirst increased hunger,Type 2 Diabetes,Schedule blood glucose testing.
weight gain cold intolerance,Hypothyroidism,Consult a healthcare provider for thyroid testing.
weight loss heat intolerance,Hyperthyroidism,Consult an endocrinologist.
severe abdominal pain right lower abdomen,Appendicitis,Seek emergency medical evaluation.
upper abdominal pain after meals,Gallstones,Consult a healthcare provider for ultrasound evaluation.
heartburn acid reflux,GERD,Avoid trigger foods and consult a healthcare provider.
bloody diarrhea abdominal pain,Ulcerative Colitis,Consult a gastroenterologist.
abdominal pain weight loss,Crohn Disease,Seek gastroenterology evaluation.
persistent constipation weight loss,Colon Cancer,Arrange urgent medical assessment.
frequent loose stools bloating,Irritable Bowel Syndrome,Consult a healthcare provider for management.
jaundice abdominal pain,Gallbladder Disease,Consult a healthcare provider promptly.
severe back pain fever,Kidney Infection,Seek prompt medical care.
blood in urine flank pain,Kidney Stones,Increase hydration and seek medical evaluation.
joint swelling fever,Lyme Disease,Consult a healthcare provider for testing.
bullseye rash fever,Lyme Disease,Seek medical evaluation after tick exposure.
muscle weakness drooping eyelids,Myasthenia Gravis,Consult a neurologist.
memory loss confusion,Alzheimer Disease,Arrange neurological assessment.
tremor slow movement stiffness,Parkinson Disease,Consult a neurologist.
seizure loss of consciousness,Epilepsy,Seek neurological evaluation.
anxiety excessive worry insomnia,Generalized Anxiety Disorder,Consult a mental health professional.
persistent sadness loss of interest,Depression,Seek support from a healthcare professional.
panic chest tightness dizziness,Panic Attack,Practice calming techniques and seek medical advice.
difficulty sleeping daytime fatigue,Insomnia,Improve sleep hygiene and consult a healthcare provider.
snoring daytime sleepiness,Sleep Apnea,Arrange a sleep study evaluation.
fever painful skin rash,Shingles,Consult a healthcare provider promptly.
